[2025-03-21T08:23:38.985Z] GET / - 200 - 691ms
[2025-03-21T08:23:39.702Z] GET /css/styles.css - 304 - 2ms
[2025-03-21T08:23:39.710Z] GET /javascripts/index_script.js - 304 - 1ms
[2025-03-21T08:23:39.711Z] GET /javascripts/event_script.js - 304 - 2ms
[2025-03-21T08:23:41.064Z] GET /import - 200 - 3ms
[2025-03-21T08:30:48.808Z] GET / - 304 - 1052ms
[2025-03-21T08:30:49.900Z] GET /css/styles.css - 304 - 3ms
[2025-03-21T08:30:49.905Z] GET /javascripts/index_script.js - 304 - 1ms
[2025-03-21T08:30:49.914Z] GET /javascripts/event_script.js - 304 - 2ms
[2025-03-21T08:30:59.367Z] GET /search?search=555665665&search_by=_id&search_by_major= - 200 - 221ms
[2025-03-21T08:30:59.621Z] GET /css/styles.css - 304 - 2ms
[2025-03-21T08:30:59.622Z] GET /javascripts/index_script.js - 304 - 4ms
[2025-03-21T08:30:59.633Z] GET /javascripts/event_script.js - 304 - 1ms
[2025-03-21T08:32:37.946Z] GET /search?search=555665665&search_by=_id&search_by_major= - 304 - 200ms
[2025-03-21T08:32:38.176Z] GET /javascripts/index_script.js - 304 - 3ms
[2025-03-21T08:32:38.175Z] GET /css/styles.css - 200 - 8ms
[2025-03-21T08:32:38.187Z] GET /javascripts/event_script.js - 304 - 1ms
[2025-03-21T08:33:14.441Z] GET /search?search=555665665&search_by=_id&search_by_major= - 304 - 208ms
[2025-03-21T08:33:14.683Z] GET /javascripts/index_script.js - 304 - 0ms
[2025-03-21T08:33:14.682Z] GET /css/styles.css - 200 - 3ms
[2025-03-21T08:33:14.688Z] GET /javascripts/event_script.js - 304 - 2ms
[2025-03-21T08:36:30.745Z] GET /search?search=555665665&search_by=_id&search_by_major= - 304 - 245ms
[2025-03-21T08:36:31.028Z] GET /javascripts/index_script.js - 304 - 3ms
[2025-03-21T08:36:31.027Z] GET /css/styles.css - 200 - 6ms
[2025-03-21T08:36:31.047Z] GET /javascripts/event_script.js - 304 - 0ms
[2025-03-21T08:36:32.688Z] GET /search?search=555665665&search_by=_id&search_by_major= - 304 - 207ms
[2025-03-21T08:36:32.930Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:36:32.932Z] GET /javascripts/index_script.js - 304 - 2ms
[2025-03-21T08:36:32.941Z] GET /javascripts/event_script.js - 304 - 0ms
[2025-03-21T08:37:16.683Z] GET /search?search=555665665&search_by=_id&search_by_major= - 200 - 213ms
[2025-03-21T08:37:16.916Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:37:16.916Z] GET /javascripts/index_script.js - 304 - 1ms
[2025-03-21T08:37:16.921Z] GET /javascripts/event_script.js - 304 - 0ms
[2025-03-21T08:37:40.488Z] GET /import - 304 - 3ms
[2025-03-21T08:38:21.731Z] GET /search?search=&search_by=_id&search_by_major= - 200 - 665ms
[2025-03-21T08:38:22.447Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:38:22.448Z] GET /javascripts/index_script.js - 304 - 2ms
[2025-03-21T08:38:22.468Z] GET /javascripts/event_script.js - 304 - 0ms
[2025-03-21T08:38:24.044Z] GET / - 200 - 164ms
[2025-03-21T08:38:24.246Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:38:24.248Z] GET /javascripts/manageDropdowns.js - 304 - 2ms
[2025-03-21T08:38:25.800Z] GET / - 200 - 269ms
[2025-03-21T08:38:26.093Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:38:26.099Z] GET /javascripts/index_script.js - 304 - 1ms
[2025-03-21T08:38:26.105Z] GET /javascripts/event_script.js - 304 - 0ms
[2025-03-21T08:38:48.745Z] GET / - 304 - 564ms
[2025-03-21T08:38:49.341Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:38:49.341Z] GET /javascripts/index_script.js - 304 - 2ms
[2025-03-21T08:38:49.346Z] GET /javascripts/event_script.js - 304 - 1ms
[2025-03-21T08:41:18.178Z] GET / - 304 - 894ms
[2025-03-21T08:41:19.105Z] GET /css/styles.css - 304 - 3ms
[2025-03-21T08:41:19.113Z] GET /javascripts/event_script.js - 304 - 1ms
[2025-03-21T08:41:19.106Z] GET /javascripts/index_script.js - 200 - 10ms
[2025-03-21T08:41:20.384Z] GET / - 304 - 142ms
[2025-03-21T08:41:20.549Z] GET /css/styles.css - 304 - 2ms
[2025-03-21T08:41:20.550Z] GET /javascripts/manageDropdowns.js - 304 - 3ms
[2025-03-21T08:41:21.968Z] GET / - 304 - 646ms
[2025-03-21T08:41:22.670Z] GET /css/styles.css - 304 - 3ms
[2025-03-21T08:41:22.671Z] GET /javascripts/index_script.js - 304 - 4ms
[2025-03-21T08:41:22.680Z] GET /javascripts/event_script.js - 304 - 1ms
[2025-03-21T08:41:30.215Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:42:34.235Z] GET / - 304 - 584ms
[2025-03-21T08:42:34.862Z] GET /css/styles.css - 304 - 2ms
[2025-03-21T08:42:34.876Z] GET /javascripts/event_script.js - 304 - 2ms
[2025-03-21T08:42:34.872Z] GET /javascripts/index_script.js - 200 - 12ms
[2025-03-21T08:44:25.359Z] GET / - 200 - 599ms
[2025-03-21T08:44:25.987Z] GET /css/styles.css - 304 - 3ms
[2025-03-21T08:44:25.994Z] GET /javascripts/index_script.js - 200 - 10ms
[2025-03-21T08:44:26.007Z] GET /javascripts/event_script.js - 304 - 1ms
[2025-03-21T08:45:13.217Z] GET / - 200 - 702ms
[2025-03-21T08:45:13.956Z] GET /css/styles.css - 304 - 1ms
[2025-03-21T08:45:13.966Z] GET /javascripts/index_script.js - 304 - 1ms
[2025-03-21T08:45:13.974Z] GET /javascripts/event_script.js - 304 - 0ms
[2025-03-21T08:45:14.694Z] GET / - 304 - 141ms
[2025-03-21T08:45:14.875Z] GET /css/styles.css - 304 - 9ms
[2025-03-21T08:45:14.888Z] GET /javascripts/manageDropdowns.js - 304 - 3ms
[2025-03-21T08:45:15.573Z] GET / - 304 - 710ms
